,,,Прайс на размещение рекламного ролика,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GID,Регион,Город,Район,Название пакета,Категория ЖК,Дата застройки экранов,Класс жилья,Наименование ЖК,Адрес,"Коррдинаты (широта, долгота)",,Год сдачи дома,Этажность,Количество квартир,Количество жильцов,Всего экранов,Число экранов в холле,Всего холлов в доме,Число экранов в лифте,Всего лифтов в доме,Тип экрана,Способ показа,Формат,Хронометраж (сек),Блок,Кол-во показов в сутки/1 экран (сек),Период/дней,Кол-во показов в ЖК/период,Частота контакта рекламы c 1 жителем (Frequency),Количество контактов с рекламой (OTS),Стоимость 1000 контактов (CPT) с НДС для Федерального и крупного бизнеса,ФО/скрин с камеры,Фото,Цена за размещение на 1 экране/месяц руб. без НДС,Цена за размещение на 1 экране/месяц руб. в т.ч НДС 22%,"Стоимость размещения в 1 доме/1 месяц, руб. без НДС","Стоимость размещения в 1 доме/1 месяц, руб. в т.ч.НДС 22%"
U6,Республика Башкортостан,Уфа,Октябрьский,Проспект,А,10.2025,Бизнес,ЖК Семья,"улица Комсомольская, 106/3",54.750967,56.007218,2021,28,532,1 490,2,2,1,0,4,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,35712,16,24012,333,100%,,3279,4000,6557,8000
U6,Республика Башкортостан,Уфа,Октябрьский,Проспект,А,10.2025,Бизнес,ЖК Семья,"улица Николая Ковалёва, 1",54.748364,56.004775,2024,30,451,1 263,2,2,1,0,8,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,35712,16,20356,393,100%,,3279,4000,6557,8000
U7,Республика Башкортостан,Уфа,Советский,Зеленая Роща 1,Б,10.2025,Комфорт,ЖК Черемушки,"улица Минигали Губайдуллина, 10/1",54.722893,55.996555,2023,27,597,1 672,2,2,2,0,6,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,35712,8,13473,594,100%,,3279,4000,6557,8000
U8,Республика Башкортостан,Уфа,Советский,Зеленая Роща 2,Б,10.2025,Комфорт,ЖК Черемушки 2,"улица Минигали Губайдуллина, 10",54.722477,55.997435,2022,26,590,1 652,2,2,2,0,6,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,35712,8,13315,601,100%,,3279,4000,6557,8000
U8,Республика Башкортостан,Уфа,Советский,Зеленая Роща 3,Б,10.2025,Комфорт,ЖК Черемушки 2,"улица Минигали Губайдуллина, 10",54.722477,55.997435,2022,26,590,1 652,6,0,2,6,6,Вертикальный 4*3,Digital (без звука),видеоролик,10,150,576,31,107136,28,46159,520,100%,,3279,4000,19672,24000
U9,Республика Башкортостан,Уфа,Советский,Зеленая Роща 4,Б,10.2025,Комфорт,ЖК Черемушки 3,Минигали Губайдуллина 12,54.723288,55.995630,2025,26,578,1 618,2,2,2,0,6,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,35712,8,13044,613,100%,,3279,4000,6557,8000
U9,Республика Башкортостан,Уфа,Советский,Зеленая Роща 5,Б,10.2025,Комфорт,ЖК Черемушки 3,Минигали Губайдуллина 12,54.723288,55.995630,2025,26,578,1 618,5,0,2,5,6,Вертикальный 4*3,Digital (без звука),видеоролик,10,150,576,31,89280,23,37684,531,100%,,3279,4000,16393,20000
U10,Республика Башкортостан,Уфа,Ленинский,Центр,Б,10.2025,Комфорт,ЖК Арбат,"улица Мустая Карима, 16",54.729964,55.946681,2007,11,227,636,4,4,5,0,6,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,71424,6,4098,3904,100%,,3279,4000,13115,16000
U11,Республика Башкортостан,Уфа,Октябрьский,Проспект,А,10.2025,Комфорт,ЖК Искра,"улица Комсомольская, 156/1",54.764812,56.029083,2010,16,279,781,3,3,3,0,6,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,53568,8,6296,1906,100%,,3279,4000,9836,12000
U11,Республика Башкортостан,Уфа,Октябрьский,Проспект,А,10.2025,Комфорт,ЖК Искра,"улица Архитектора Рехмукова, 3",54.764355,56.028355,2010,17,51,143,1,1,1,0,2,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,17856,8,1151,3475,100%,,3279,4000,3279,4000
U12,Республика Башкортостан,Уфа,Советский,Зеленая Роща 1,А,10.2025,Бизнес,ЖК Ботанический сад,"улица Сагита Агиша, 19",54.726013,56.008799,2023,32,540,1 512,2,2,2,0,8,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,35712,8,12187,656,100%,,3279,4000,6557,8000
U13,Республика Башкортостан,Уфа,Кировский,Зеленая Роща 1,Б,10.2025,Комфорт,ЖК Бакалинская,"улица Бакалинская, 23",54.718770,55.988883,2014,26,252,706,3,1,1,2,4,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,53568,22,15545,772,100%,,3279,4000,9836,12000
U14,Республика Башкортостан,Уфа,Кировский,Зеленая Роща 2,Б,10.2025,Комфорт,ЖК Элементум,"улица Степана Кувыкина, 45",54.712721,56.000813,2024,20,797,2 232,6,6,6,0,12,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,107136,8,17987,1334,100%,,3279,4000,19672,24000
U15,Республика Башкортостан,Уфа,Кировский,Зеленая Роща 2,Б,10.2025,Комфорт,ЖК Элементум 2,"улица Менделеева, 128",54.713371,55.997992,2025,27,1 062,2 974,3,3,3,0,2,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,53568,8,23967,501,100%,,3279,4000,9836,12000
U15,Республика Башкортостан,Уфа,Кировский,Зеленая Роща 2,Б,10.2025,Комфорт,ЖК Элементум 2,"улица Бакалинская, 4",54.712825,55.998612,2021,19,411,1 151,4,4,6,0,8,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,71424,5,6184,2587,100%,,3279,4000,13115,16000
U16,Республика Башкортостан,Уфа,Советский,Центр,Б,11.2025,Стандарт,ЖК Эверест,"улица Бориса Домашникова, 22",54.740667,55.942737,2015,20,703,1 968,6,6,6,0,11,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,107136,8,15865,1513,100%,,3279,4000,19672,24000
U17,Республика Башкортостан,Уфа,Ленинский,Центр,Б,10.2025,Комфорт,ЖК Лилия,"улица Гафури, 56",54.730916,55.931122,2018,25,571,1 599,4,4,4,0,8,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,71424,8,12886,1242,100%,,3279,4000,13115,16000
U18,Республика Башкортостан,Уфа,Кировский,Зеленая Роща 2,Б,10.2025,Стандарт,ЖК Чистое небо ,"улица Кавказская, 17/1",54.707177,55.974825,2020,21,193,540,1,1,1,0,2,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,17856,8,4356,918,100%,,3279,4000,3279,4000
U19,Республика Башкортостан,Уфа,Кировский,Центр,Б,10.2025,Бизнес,ЖК Новомостовая,"улица Новомостовая, 8",54.717444,55.954065,2004,17,323,904,6,6,6,0,10,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,107136,8,7289,3292,100%,,3279,4000,19672,24000
U20,Республика Башкортостан,Уфа,Орджоникидзевский,Проспект,А,11.2025,Бизнес,ЖК Idel Tower,"проспект Октября, 107Б",54.783222,56.030395,2016,25,535,1 498,9,9,5,0,9,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,160704,15,21733,1656,100%,,3279,4000,29508,36000
U21,Республика Башкортостан,Уфа,Орджоникидзевский,Проспект,А,04.2026,Бизнес,ЖК Idel Tower 2,"проспект Октября, 107А",54.782786,56.031437,2018,34,1 379,3 861,10,0,5,10,12,Вертикальный 4*3,Digital (без звука),видеоролик,10,150,576,31,178560,30,117569,340,100%,,3279,4000,32787,40000
U22,Республика Башкортостан,Уфа,Советский,Проспект,Б,11.2025,Стандарт,ЖК Риверсайд,"улица Златоустовская, 20",54.750151,55.966003,2017,26,215,602,4,1,1,3,3,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,71424,36,21673,738,100%,,3279,4000,13115,16000
U23,Республика Башкортостан,Уфа,Октябрьский,Инорс_Сипайлово,Б,11.2025,Стандарт,ЖК Республика ,"улица Воинов-Интернационалистов, 5",54.780652,56.049250,2022,23,646,1 809,4,2,2,2,7,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,71424,15,27353,585,100%,,3279,4000,13115,16000
U23,Республика Башкортостан,Уфа,Октябрьский,Инорс_Сипайлово,Б,11.2025,Стандарт,ЖК Республика ,"улица Воинов-Интернационалистов, 7",54.780719,56.048073,2021,26,623,1 744,4,2,2,2,7,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,71424,16,27986,572,100%,,3279,4000,13115,16000
U24,Республика Башкортостан,Уфа,Октябрьский,Инорс_Сипайлово,Б,06.2026,Комфорт,ЖК Республика 1,"улица Уфимское Шоссе, 18/6",54.780730,56.046861,2020,20,239,669,3,0,1,3,3,Вертикальный 4*3,Digital (без звука),видеоролик,10,150,576,31,53568,21,14383,834,100%,,3279,4000,9836,12000
U25,Республика Башкортостан,Уфа,Калининский,Проспект,Б,11.2025,Стандарт,ЖК Изумрудный 1,"улица Шумавцова, 16",54.815166,56.076290,2018,13,205,574,4,4,4,0,5,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,71424,8,4626,3458,100%,,3279,4000,13115,16000
U26,Республика Башкортостан,Уфа,Калининский,Проспект,Б,11.2025,Стандарт,ЖК Изумрудный 2,"улица Шумавцова, 16",54.815166,56.076290,2018,13,205,574,4,0,4,4,5,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,71424,11,6415,2494,100%,,3279,4000,13115,16000
U27,Республика Башкортостан,Уфа,Калининский,Проспект,Б,11.2025,Стандарт,ЖК Изумрудный 3,"улица Нежинская, 27",54.814279,56.075490,2021,16,402,1 126,8,8,8,0,16,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,142848,8,9072,3527,100%,,3279,4000,26230,32000
U28,Республика Башкортостан,Уфа,Калининский,Проспект,Б,11.2025,Стандарт,ЖК Изумрудный 4,"улица Нежинская, 27",54.814279,56.075490,2021,16,402,1 126,8,0,8,8,16,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,142848,9,9677,3307,100%,,3279,4000,26230,32000
U29,Республика Башкортостан,Уфа,Октябрьский,Проспект,А,11.2025,Комфорт,ЖК Панорама,"улица Архитектора Рехмукова, 7",54.763077,56.031284,2015,25,385,1 078,3,3,3,0,7,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,53568,8,8689,1381,100%,,3279,4000,9836,12000
