,,,Прайс на размещение рекламного баннера,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GID,Регион,Город,Район,Название пакета,Категория ЖК,Дата застройки экранов,Класс жилья,Наименование ЖК,Адрес,"Коррдинаты (широта, долгота)",,Год сдачи дома,Этажность,Количество квартир,Количество жильцов,Всего экранов,Число экранов в холле,Всего холлов в доме,Число экранов в лифте,Всего лифтов в доме,Тип экрана,Способ показа,Формат,Период/дней,Частота контакта рекламы c 1 жителем (Frequency),Количество контактов с рекламой (OTS),Стоимость 1000 контактов (CPT) с НДС для Федерального и крупного бизнеса,ФО/скрин с камеры,Фото,Цена за размещение на 1 экране/месяц руб. без НДС,Цена за размещение на 1 экране/месяц руб. в т.ч НДС 22%,"Стоимость размещения в 1 доме/1 месяц, руб. без НДС ","Стоимость размещения в 1 доме/1 месяц, руб. в т.ч.НДС 22%"
U4,Республика Башкортостан,Уфа,Калининский,Инорс_Сипайлово,Б,10.2025,Стандарт,ЖК Акварель,"улица Ферина, 33",54.777126,56.132030,2017,18,187,524,2,0,2,2,4,Вертикальный 4*3,Digital (без звука),статичный баннер,31,20,10551,1517,100%,,6557,8000,13115,16000
U5,Республика Башкортостан,Уфа,Ленинский,Центр,Б,10.2025,Бизнес,ЖК Старый центр,"улица Чернышевского, 26",54.731545,55.928831,2023,19,321,899,2,2,2,0,4,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,20,18111,883,100%,,6557,8000,13115,16000
U5,Республика Башкортостан,Уфа,Ленинский,Центр,Б,10.2025,Бизнес,ЖК Старый центр,"улица Коммунистическая, 15",54.729512,55.929083,2020,15,151,423,2,2,2,0,4,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,20,8519,1878,100%,,6557,8000,13115,16000
U5,Республика Башкортостан,Уфа,Ленинский,Центр,Б,10.2025,Бизнес,ЖК Старый центр,"улица Чернышевского, 28",54.731326,55.929774,2012,18,111,311,1,1,1,0,2,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,20,6263,1277,100%,,6557,8000,6557,8000
U5,Республика Башкортостан,Уфа,Ленинский,Центр,Б,10.2025,Бизнес,ЖК Старый центр,"улица Коммунистическая, 11/1",54.730157,55.927978,2018,27,271,759,1,1,1,0,3,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,20,15290,523,100%,,6557,8000,6557,8000
U5,Республика Башкортостан,Уфа,Ленинский,Центр,Б,10.2025,Бизнес,ЖК Старый центр,"улица Коммунистическая, 11",54.729725,55.928023,2017,13,111,311,2,2,2,0,4,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,20,6263,2555,100%,,6557,8000,13115,16000
U6,Республика Башкортостан,Уфа,Октябрьский,Проспект,А,10.2025,Бизнес,ЖК Семья,"улица Комсомольская, 94",54.748868,56.003652,2019,19,139,389,1,1,1,0,2,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,20,7842,1020,100%,,6557,8000,6557,8000
U6,Республика Башкортостан,Уфа,Октябрьский,Проспект,А,10.2025,Бизнес,ЖК Семья,"улица Комсомольская, 106/3",54.750967,56.007218,2021,28,532,1 490,2,2,1,0,4,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,40,60031,267,100%,,6557,8000,13115,16000
U6,Республика Башкортостан,Уфа,Октябрьский,Проспект,А,10.2025,Бизнес,ЖК Семья,"улица Николая Ковалёва, 1",54.748364,56.004775,2024,30,451,1 263,2,2,1,0,8,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,40,50891,314,100%,,6557,8000,13115,16000
U7,Республика Башкортостан,Уфа,Советский,Зеленая Роща 1,Б,10.2025,Комфорт,ЖК Черемушки,"улица Минигали Губайдуллина, 10/1",54.722893,55.996555,2023,27,597,1 672,2,2,2,0,6,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,20,33683,475,100%,,6557,8000,13115,16000
U8,Республика Башкортостан,Уфа,Советский,Зеленая Роща 2,Б,10.2025,Комфорт,ЖК Черемушки 2,"улица Минигали Губайдуллина, 10",54.722477,55.997435,2022,26,590,1 652,2,2,2,0,6,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,20,33288,481,100%,,6557,8000,13115,16000
U8,Республика Башкортостан,Уфа,Советский,Зеленая Роща 3,Б,10.2025,Комфорт,ЖК Черемушки 2,"улица Минигали Губайдуллина, 10",54.722477,55.997435,2022,26,590,1 652,6,0,2,6,6,Вертикальный 4*3,Digital (без звука),статичный баннер,31,40,66576,721,100%,,6557,8000,39344,48000
U9,Республика Башкортостан,Уфа,Советский,Зеленая Роща 4,Б,10.2025,Комфорт,ЖК Черемушки 3,Минигали Губайдуллина 12,54.723288,55.995630,2025,26,578,1 618,2,2,2,0,6,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,20,32611,491,100%,,6557,8000,13115,16000
U9,Республика Башкортостан,Уфа,Советский,Зеленая Роща 5,Б,10.2025,Комфорт,ЖК Черемушки 3,Минигали Губайдуллина 12,54.723288,55.995630,2025,26,578,1 618,5,0,2,5,6,Вертикальный 4*3,Digital (без звука),статичный баннер,31,34,54351,736,100%,,6557,8000,32787,40000
U10,Республика Башкортостан,Уфа,Ленинский,Центр,Б,10.2025,Комфорт,ЖК Арбат,"улица Мустая Карима, 16",54.729964,55.946681,2007,11,227,636,4,4,5,0,6,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,16,10246,3123,100%,,6557,8000,26230,32000
U11,Республика Башкортостан,Уфа,Октябрьский,Проспект,А,10.2025,Комфорт,ЖК Искра,"улица Комсомольская, 156/1",54.764812,56.029083,2010,16,279,781,3,3,3,0,6,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,20,15741,1525,100%,,6557,8000,19672,24000
U11,Республика Башкортостан,Уфа,Октябрьский,Проспект,А,10.2025,Комфорт,ЖК Искра,"улица Архитектора Рехмукова, 3",54.764355,56.028355,2010,17,51,143,1,1,1,0,2,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,20,2877,2780,100%,,6557,8000,6557,8000
U12,Республика Башкортостан,Уфа,Советский,Зеленая Роща 1,А,10.2025,Бизнес,ЖК Ботанический сад,"улица Сагита Агиша, 19",54.726013,56.008799,2023,32,540,1 512,2,2,2,0,8,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,20,30467,525,100%,,6557,8000,13115,16000
U13,Республика Башкортостан,Уфа,Кировский,Зеленая Роща 1,Б,10.2025,Комфорт,ЖК Бакалинская,"улица Бакалинская, 23",54.718770,55.988883,2014,26,252,706,3,1,1,2,4,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,40,28436,844,100%,,6557,8000,19672,24000
U14,Республика Башкортостан,Уфа,Кировский,Зеленая Роща 2,Б,10.2025,Комфорт,ЖК Элементум,"улица Степана Кувыкина, 45",54.712721,56.000813,2024,20,797,2 232,6,6,6,0,12,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,20,44967,1067,100%,,6557,8000,39344,48000
U15,Республика Башкортостан,Уфа,Кировский,Зеленая Роща 2,Б,10.2025,Комфорт,ЖК Элементум 2,"улица Менделеева, 128",54.713371,55.997992,2025,27,1 062,2 974,3,3,3,0,2,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,20,59918,401,100%,,6557,8000,19672,24000
U15,Республика Башкортостан,Уфа,Кировский,Зеленая Роща 2,Б,10.2025,Комфорт,ЖК Элементум 2,"улица Бакалинская, 4",54.712825,55.998612,2021,19,411,1 151,4,4,6,0,8,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,13,15459,2070,100%,,6557,8000,26230,32000
U16,Республика Башкортостан,Уфа,Советский,Центр,Б,11.2025,Стандарт,ЖК Эверест,"улица Бориса Домашникова, 22",54.740667,55.942737,2015,20,703,1 968,6,6,6,0,11,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,20,39663,1210,100%,,6557,8000,39344,48000
U17,Республика Башкортостан,Уфа,Ленинский,Центр,Б,10.2025,Комфорт,ЖК Лилия,"улица Гафури, 56",54.730916,55.931122,2018,25,571,1 599,4,4,4,0,8,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,20,32216,993,100%,,6557,8000,26230,32000
U18,Республика Башкортостан,Уфа,Кировский,Зеленая Роща 2,Б,10.2025,Стандарт,ЖК Чистое небо ,"улица Кавказская, 17/1",54.707177,55.974825,2020,21,193,540,1,1,1,0,2,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,20,10889,735,100%,,6557,8000,6557,8000
U19,Республика Башкортостан,Уфа,Кировский,Центр,Б,10.2025,Бизнес,ЖК Новомостовая,"улица Новомостовая, 8",54.717444,55.954065,2004,17,323,904,6,6,6,0,10,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,20,18224,2634,100%,,6557,8000,39344,48000
U20,Республика Башкортостан,Уфа,Орджоникидзевский,Проспект,А,11.2025,Бизнес,ЖК Idel Tower,"проспект Октября, 107Б",54.783222,56.030395,2016,25,535,1 498,9,9,5,0,9,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,36,54332,1325,100%,,6557,8000,59016,72000
