,,,Прайс на размещение рекламного баннера,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GID,Регион,Город,Район,Название пакета,Категория ЖК,Дата застройки экранов,Класс жилья,Наименование ЖК,Адрес,"Коррдинаты (широта, долгота)",,Год сдачи дома,Этажность,Количество квартир,Количество жильцов,Всего экранов,Число экранов в холле,Всего холлов в доме,Число экранов в лифте,Всего лифтов в доме,Тип экрана,Способ показа,Формат,Период/дней,Частота контакта рекламы c 1 жителем (Frequency),Количество контактов с рекламой (OTS),Стоимость 1000 контактов (CPT) с НДС для Федерального и крупного бизнеса,ФО/скрин с камеры,Фото,Цена за размещение на 1 экране/месяц руб. без НДС,Цена за размещение на 1 экране/месяц руб. в т.ч НДС 22%,"Стоимость размещения в 1 доме/1 месяц, руб. без НДС ","Стоимость размещения в 1 доме/1 месяц, руб. в т.ч.НДС 22%"
U83,Республика Башкортостан,Уфа,Октябрьский,Инорс_Сипайлово,А,06.2026,Комфорт,Квартал Олимп 3,"улица Юрия Гагарина, 10/2",54.763763,56.050715,2001,9,207,580,7,0,7,7,7,Вертикальный 4*3,Digital (без звука),статичный баннер,31,40,23358,2397,100%,,6557,8000,45902,56000
U84,Республика Башкортостан,Уфа,Октябрьский,Инорс_Сипайлово,Б,06.2026,Комфорт,Квартал Маяк,"улица Маршала Жукова, 3/2",54.766198,56.047695,2007,18,80,224,2,0,1,2,2,Вертикальный 4*3,Digital (без звука),статичный баннер,31,40,9027,1772,100%,,6557,8000,13115,16000
U85,Республика Башкортостан,Уфа,Кировский,Зеленая Роща 2,Б,06.2026,Комфорт,ЖК Южный 2,"улица Загира Исмагилова, 16/1",54.698573,55.982071,2009,9,71,199,2,0,2,2,2,Вертикальный 4*3,Digital (без звука),статичный баннер,31,40,8012,1997,100%,,6557,8000,13115,16000
U85,Республика Башкортостан,Уфа,Кировский,Зеленая Роща 2,Б,06.2026,Комфорт,ЖК Южный 2,"улица Загира Исмагилова, д. 18",54.698718,55.980256,2012,13,148,414,2,0,2,2,4,Вертикальный 4*3,Digital (без звука),статичный баннер,31,20,8350,1916,100%,,6557,8000,13115,16000
U86,Республика Башкортостан,Уфа,Дёмский,Дёмский_мкрн. Цветы Башкирии,А,06.2026,Комфорт,ЖК Яркий Квартал Париж 1,"Яркий бульвар, 10",54.695817,55.859804,2022,19,204,571,3,0,1,3,3,Вертикальный 4*3,Digital (без звука),статичный баннер,31,40,23019,1043,100%,,6557,8000,19672,24000
U87,Республика Башкортостан,Уфа,Дёмский,Дёмский_мкрн. Цветы Башкирии,А,07.2026,Комфорт,ЖК Яркий Квартал Париж 2,"улица Евгения Столярова, 13",54.695185,55.857586,2025,26,288,806,3,0,1,3,4,Вертикальный 4*3,Digital (без звука),статичный баннер,31,30,24373,985,100%,,6557,8000,19672,24000
U88,Республика Башкортостан,Уфа,Дёмский,Дёмский_мкрн. Цветы Башкирии,А,07.2026,Комфорт,ЖК Яркий Квартал Париж 3,"улица Архитектора Калимуллина, 12",54.694867,55.859257,2025,26,288,806,3,0,1,3,4,Вертикальный 4*3,Digital (без звука),статичный баннер,31,30,24373,985,100%,,6557,8000,19672,24000
U89,Республика Башкортостан,Уфа,Дёмский,Дёмский_мкрн. Цветы Башкирии,А,06.2026,Стандарт,ЖК Новая Дёма,"улица Генерала Кусимова, 20",54.717392,55.842467,2025,19,808,2 262,8,0,8,8,16,Вертикальный 4*3,Digital (без звука),статичный баннер,31,20,45587,1404,100%,,6557,8000,52459,64000
U90,Республика Башкортостан,Уфа,Кировский,Зеленая Роща 2,Б,06.2026,Комфорт,ЖК Трио,"улица Степана Кувыкина, 16/1",54.705765,56.000567,2002,15,70,196,2,0,1,2,2,Вертикальный 4*3,Digital (без звука),статичный баннер,31,40,7899,2026,100%,,6557,8000,13115,16000
U90,Республика Башкортостан,Уфа,Кировский,Зеленая Роща 2,Б,06.2026,Комфорт,ЖК Трио,"улица Степана Кувыкина, 16/2",54.706149,56.000517,2003,17,71,199,2,0,1,2,2,Вертикальный 4*3,Digital (без звука),статичный баннер,31,40,8012,1997,100%,,6557,8000,13115,16000
U90,Республика Башкортостан,Уфа,Кировский,Зеленая Роща 2,Б,06.2026,Комфорт,ЖК Трио,"улица Степана Кувыкина, 16/3",54.706293,56.001047,2003,14,70,196,2,0,1,2,2,Вертикальный 4*3,Digital (без звука),статичный баннер,31,40,7899,2026,100%,,6557,8000,13115,16000
U91,Республика Башкортостан,Уфа,Ленинский,Центр,А,06.2026,Комфорт,ЖК Гоголя 63,"улица Гоголя, 63/1",54.732331,55.9404,2012,13,133,372,3,0,3,3,2,Вертикальный 4*3,Digital (без звука),статичный баннер,31,60,22512,1066,100%,,6557,8000,19672,24000
U91,Республика Башкортостан,Уфа,Ленинский,Центр,А,06.2026,Комфорт,ЖК Гоголя 63,"улица Гоголя, 63",54.731698,55.940105,2011,9,64,179,2,0,2,2,2,Вертикальный 4*3,Digital (без звука),статичный баннер,31,40,7222,2216,100%,,6557,8000,13115,16000
U92,Республика Башкортостан,Уфа,Кировский,Зеленая Роща 2,А,06.2026,Комфорт,ЖК Свобода 1,"улица Бородинская, 19",54.679577,55.97933,2024,26,554,1 551,8,0,3,8,8,Вертикальный 4*3,Digital (без звука),статичный баннер,31,40,62513,1024,100%,,6557,8000,52459,64000
U93,Республика Башкортостан,Уфа,Кировский,Зеленая Роща 2,А,06.2026,Комфорт,ЖК Свобода 2,"улица Бородинская, 19/1",54.678921,55.979779,2024,27,537,1 504,12,0,3,12,8,Вертикальный 4*3,Digital (без звука),статичный баннер,31,60,90893,1056,100%,,6557,8000,78689,96000
U94,Республика Башкортостан,Уфа,Ленинский,Центр,А,06.2026,Комфорт,Квартал Зенцова,"улица Коммунистическая, 19/1",54.729574,55.931893,2002,15,76,213,4,0,2,4,4,Вертикальный 4*3,Digital (без звука),статичный баннер,31,40,8576,3731,100%,,6557,8000,26230,32000
U95,Республика Башкортостан,Уфа,Кировский,Зеленая Роща 2,Б,06.2026,Комфорт,квартал Амантая,"улица Габдуллы Амантая, 1",54.693009,55.992061,2009,16,315,882,6,0,6,6,9,Вертикальный 4*3,Digital (без звука),статичный баннер,31,27,23696,2026,100%,,6557,8000,39344,48000
U96,Республика Башкортостан,Уфа,Октябрьский,Инорс_Сипайлово,Б,06.2026,Стандарт,ЖК на Маршала Жукова,"улица Маршала Жукова, 3/3",54.766645,56.047814,2007,18,80,224,2,0,1,2,2,Вертикальный 4*3,Digital (без звука),статичный баннер,31,40,9027,1772,100%,,6557,8000,13115,16000
U97,Республика Башкортостан,Уфа,Кировский,Зеленая Роща 2,А,07.2026,Комфорт,ЖК на Сочинской,"улица Сочинская, 15/1",54.708846,55.970199,2005,17,115,322,2,0,1,2,2,Вертикальный 4*3,Digital (без звука),статичный баннер,31,40,12977,1233,100%,,6557,8000,13115,16000
U98,Республика Башкортостан,Уфа,Кировский,Центр,Б,07.2026,Комфорт,ЖК Тихий Центр,"улица Октябрьской Революции, 54Б",54.717756,55.959257,2014,11,122,342,2,0,2,2,2,Вертикальный 4*3,Digital (без звука),статичный баннер,31,40,13766,1162,100%,,6557,8000,13115,16000
U98,Республика Башкортостан,Уфа,Кировский,Центр,Б,07.2026,Комфорт,ЖК Тихий Центр,"улица Октябрьской Революции, 62/1",54.717007,55.959455,2023,18,120,336,3,0,2,3,4,Вертикальный 4*3,Digital (без звука),статичный баннер,31,30,10156,2363,100%,,6557,8000,19672,24000
U99,Республика Башкортостан,Уфа,Ленинский,Центр,А,07.2026,Комфорт,ЖК Гоголя 53,"улица Гоголя, 53",54.728794,55.938668,2000,7,41,115,1,0,2,1,2,Вертикальный 4*3,Digital (без звука),статичный баннер,31,20,2313,3458,100%,,6557,8000,6557,8000
U100,Республика Башкортостан,Уфа,Кировский,Центр,А,07.2026,Комфорт,ЖК на Цюрупы,"улица Цюрупы, 27",54.725763,55.952852,1970,12,96,269,2,0,4,2,4,Вертикальный 4*3,Digital (без звука),статичный баннер,31,20,5416,2954,100%,,6557,8000,13115,16000
U101,Республика Башкортостан,Уфа,Кировский,Зеленая Роща 2,А,07.2026,Комфорт,ЖК Президент отель,"улица Авроры, 5/12",54.696382,56.004505,2002,12,114,319,2,0,1,2,2,Вертикальный 4*3,Digital (без звука),статичный баннер,31,40,12864,1244,100%,,6557,8000,13115,16000
U102,Республика Башкортостан,Уфа,Октябрьский,Инорс_Сипайлово,Б,07.2026,Комфорт,ЖК Квартал Набережная,"улица Натальи Ковшовой, 10",54.761254,56.056095,2001,9,161,451,6,0,6,6,6,Вертикальный 4*3,Digital (без звука),статичный баннер,31,40,18167,2642,100%,,6557,8000,39344,48000
U103,Республика Башкортостан,Уфа,Кировский,Зеленая Роща 2,Б,07.2026,Комфорт,ЖК МВД,"улица Мубарякова, 12/2",54.697768,55.997462,2001,12,108,302,4,0,2,4,2,Вертикальный 4*3,Digital (без звука),статичный баннер,31,81,24373,1313,100%,,6557,8000,26230,32000
U103,Республика Башкортостан,Уфа,Кировский,Зеленая Роща 2,Б,07.2026,Комфорт,ЖК МВД,"улица Степана Кувыкина, 5",54.699493,55.993977,2002,16,57,160,2,0,1,2,1,Вертикальный 4*3,Digital (без звука),статичный баннер,31,81,12864,1244,100%,,6557,8000,13115,16000
U104,Республика Башкортостан,Уфа,Кировский,Центр,А,07.2026,Комфорт,ЖК Уфимский кремль ,"улица Октябрьской Революции, 23А",54.722685,55.954900,2016,13,160,448,6,0,3,6,6,Вертикальный 4*3,Digital (без звука),статичный баннер,31,40,18054,2659,100%,,6557,8000,39344,48000
U105,Республика Башкортостан,Уфа,Советский ,Центр,Б,07.2026,Комфорт,ЖК Центр,"улица Карла Маркса, 46",54.737445,55.947471,2004,12,42,118,2,0,1,2,2,Вертикальный 4*3,Digital (без звука),статичный баннер,31,40,4739,3376,100%,,6557,8000,13115,16000
U106,Республика Башкортостан,Уфа,Дёмский ,Дёмский_мкрн. Цветы Башкирии,Б,07.2026,Стандарт,ЖК Дёма ,"улица Магистральная, 14",54.710376,55.828894,2019,16,250,700,4,0,2,4,4,Вертикальный 4*3,Digital (без звука),статичный баннер,31,40,28210,1134,100%,,6557,8000,26230,32000
U107,Республика Башкортостан,Уфа,Октябрьский,Инорс_Сипайлово,Б,07.2026,Комфорт,ЖК на Бикбая,"улица Баязита Бикбая, 23/2",54.767882,56.062473,2003,10,329,921,7,0,7,7,7,Вертикальный 4*3,Digital (без звука),статичный баннер,31,40,37124,1508,100%,,6557,8000,45902,56000
U108,Республика Башкортостан,Уфа,Кировский,Зеленая Роща 2,Б,07.2026,Комфорт,ЖК на Ураксина,"улица Академика Ураксина, 1",54.702307,55.979146,2012,14,141,395,2,0,2,2,4,Вертикальный 4*3,Digital (без звука),статичный баннер,31,20,7955,2011,100%,,6557,8000,13115,16000
U108,Республика Башкортостан,Уфа,Кировский,Зеленая Роща 2,Б,07.2026,Комфорт,ЖК на Ураксина,"улица Академика Ураксина, 3",54.702927,55.979559,2013,15,203,568,4,0,4,4,6,Вертикальный 4*3,Digital (без звука),статичный баннер,31,27,15271,2095,100%,,6557,8000,26230,32000
U109,Республика Башкортостан,Уфа,Ленинский,Ленинский 1 Затон_мкрн. 8 Марта,Б,07.2026,Комфорт,ЖК Ветер,"улица Сержанта Пашкова, 5",54.793464,55.860047,2025,25,612,1 714,7,0,1,7,2,Вертикальный 4*3,Digital (без звука),статичный баннер,31,141,241703,232,100%,,6557,8000,45902,56000
U110,Республика Башкортостан,Уфа,Ленинский,Центр,Б,07.2026,Комфорт,ЖК Квартал Центр ,"улица Гафури, 54",54.729621,55.930574,1999,16,201,563,9,0,6,9,7,Вертикальный 4*3,Digital (без звука),статичный баннер,31,52,29161,2469,100%,,6557,8000,59016,72000
U111,Республика Башкортостан,Уфа,Советский,Центр,Б,07.2026,Комфорт,ЖК на Мингажева,"улица Революционная, 163",54.733099,55.971025,2000,16,279,781,2,0,2,2,2,Вертикальный 4*3,Digital (без звука),статичный баннер,31,40,31482,508,100%,,6557,8000,13115,16000
U112,Республика Башкортостан,Уфа,Советский,Центр,Б,07.2026,Комфорт,ЖК квартал Алтын,"улица Ленина, 99",54.747028,55.958853,2024,10,519,1 453,7,0,1,7,7,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,40,58564,956,100%,,6557,8000,45902,56000
U113,Республика Башкортостан,Уфа,Кировский,Зеленая Роща 2,Б,08.2026,Комфорт,ЖК Зеленая Роща,"улица Батырская, 14",54.707645,56.005960,2001,14,39,109,2,0,1,2,2,Вертикальный 4*3,Digital (без звука),статичный баннер,31,40,4401,3636,100%,,6557,8000,13115,16000
U114,Республика Башкортостан,Уфа,Кировский,Центр,Б,08.2026,Комфорт,ЖК на Чернышевского,"улица Чернышевского, 122/1",54.726424,55.958143,1998,12,48,134,2,0,1,2,2,Вертикальный 4*3,Digital (без звука),статичный баннер,31,40,5416,2954,100%,,6557,8000,13115,16000
U115,Республика Башкортостан,Уфа,Кировский,Центр,Б,08.2026,Комфорт,ЖК на Цурюпа 78,"улица Цюрупы, 78",54.728966,55.956023,2011,13,97,272,5,0,3,5,5,Вертикальный 4*3,Digital (без звука),статичный баннер,31,40,10945,3654,100%,,6557,8000,32787,40000
U116,Республика Башкортостан,Уфа,Советский ,Проспект,Б,08.2026,Комфорт,ЖК Кристалл,"улица Братьев Кадомцевых, 17",54.751201,55.995738,2025,27,587,1 644,6,0,2,6,4,Вертикальный 4*3,Digital (без звука),статичный баннер,31,60,99356,483,100%,,6557,8000,39344,48000
U117,Республика Башкортостан,Уфа,Кировский,Зеленая Роща 2,Б,08.2026,Комфорт,ЖК на Перовской 54,"улица Софьи Перовской, 54",54.697172,55.992477,2010,18,321,899,5,0,5,5,10,Вертикальный 4*3,Digital (без звука),статичный баннер,31,20,18111,2209,100%,,6557,8000,32787,40000
U118,Республика Башкортостан,Уфа,Кировский,Зеленая Роща 2,Б,08.2026,Комфорт,ЖК Высотная,"улица Высотная, 8/3",54.704466,55.979083,2011,14,158,442,5,0,3,5,5,Вертикальный 4*3,Digital (без звука),статичный баннер,31,40,17829,2244,100%,,6557,8000,32787,40000
U119,Республика Башкортостан,Уфа,Октябрьский ,Зеленая Роща 2,Б,08.2026,Комфорт,ЖК Проезд Лесной 16,"проезд Лесной, 16",54.745620,56.020585,2002,13,52,146,2,0,1,2,2,Вертикальный 4*3,Digital (без звука),статичный баннер,31,40,5868,2727,100%,,6557,8000,13115,16000
U120,Республика Башкортостан,Уфа,Кировский,Зеленая Роща 2,Б,08.2026,Комфорт,ЖК на Перовской 54,"улица Софьи Перовской, 54",54.697172,55.992477,2010,18,321,899,5,0,5,5,10,Вертикальный 4*3,Digital (без звука),статичный баннер,31,20,18111,2209,100%,,6557,8000,32787,40000
U121,Республика Башкортостан,Уфа,Октябрьский,,Б,08.2026,Комфорт,ЖК на Набережной реки Уфы 3/5,"улица Набережная реки Уфы, 3/5",54.761940,56.052637,2000,10,86,241,2,0,2,2,2,Вертикальный 4*3,Digital (без звука),статичный баннер,31,40,9704,1649,100%,,6557,8000,13115,16000
U122,Республика Башкортостан,Уфа,Первомайский,,Б,08.2026,Стандарт,ЖК Мечтателей,"улица Рашита Нигмати, 12",54.710131,55.842665,2025,12,289,809,5,0,5,5,4,Вертикальный 4*3,Digital (без звука),статичный баннер,31,50,40763,981,100%,,6557,8000,32787,40000
STR1,Республика Башкортостан,Стерлитамак,​Западный,продажа городом,А,11.2025,Комфорт, ЖК Браво     ,"улица Интернациональная, 61",54.811887,56.077233,2024,10,519,1 453,10,5,1,5,7,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,130,188241,425,100%,,6557,8000,65574,80000
STR2,Республика Башкортостан,Стерлитамак,​Западный,продажа городом,А,07.2026,Комфорт, ЖК Браво 2,"улица Интернациональная, 63",54.811726,56.077790,2025,17,363,1 016,10,5,5,5,10,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,40,40961,1953,100%,,6557,8000,65574,80000
STR3,Республика Башкортостан,Стерлитамак,Западный ,продажа городом,А,10.2025,Комфорт,ЖК Шиханы,"проспект Октября, 99",53.629169,55.883017,2023,20,439,1 229,6,3,1,3,6,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,81,99074,484,100%,,6557,8000,39344,48000
STR4,Республика Башкортостан,Стерлитамак,Западный,продажа городом,А,04.2026,Комфорт,ЖК Шиханы 2,"улица Раиса Багаутдинова, 2",53.627989,55.883080,2024,11,124,347,4,2,1,2,3,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,67,23320,1372,100%,,6557,8000,26230,32000
STR5,Республика Башкортостан,Стерлитамак,​Западный,продажа городом,А,12.2025,Комфорт,ЖК на Проспекте Октября 85,"проспект Октября, 85",53.628993,55.899941,2019,18,230,644,4,2,2,2,4,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,40,25953,1233,100%,,6557,8000,26230,32000
NFT1,Республика Башкортостан,Нефтекамск,​13-й м-н,продажа городом,Б,07.2026,Комфорт,ЖК Лайф,"улица Ленина, 84Б",56.108256,54.235974,2024,16,283,792,4,0,2,4,4,Вертикальный 4*3,Digital (без звука),статичный баннер,31,40,31934,1002,100%,,6557,8000,26230,32000
NFT2,Республика Башкортостан,Нефтекамск,24-й м-н,продажа городом,Б,08.2026,Комфорт,ЖК Городской,"улица Городская, 12",56.071248,54.225940,2025,10,210,588,2,0,2,2,2,Вертикальный 4*3,Digital (без звука),статичный баннер,31,40,23696,675,100%,,6557,8000,13115,16000
NFT2,Республика Башкортостан,Нефтекамск,24-й м-н,продажа городом,Б,08.2026,Комфорт,ЖК Городской,"улица Городская, 14",56.071007,54.226856,2025,10,210,588,4,0,4,4,4,Вертикальный 4*3,Digital (без звука),статичный баннер,31,40,23696,1350,100%,,6557,8000,26230,32000
OKT1,Республика Башкортостан,Октябрьский,Центральный,продажа городом,Б,08.2026,Комфорт,ЖК Парковая,"улица Парковая, 5",54.471085,53.518337,2024,10,235,658,5,5,5,0,5,Вертикальный 4*3,Digital (без звука),статичный баннер,31,20,13259,3017,100%,,6557,8000,32787,40000
OREN1,Оренбургская область,Оренбург,Дзержинский,мкрн. 13_15_16,А,10.2025,Комфорт,ЖК 15Б Микрорайон,"улица Автомобилистов, 13",51.830568,55.168964,2023,19,762,2 134,5,5,6,0,12,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,17,35827,1116,100%,,6557,8000,32787,40000
OREN1,Оренбургская область,Оренбург,Дзержинский,мкрн. 13_15_16,А,10.2025,Комфорт,ЖК 15Б Микрорайон,"улица Автомобилистов, 13",51.830568,55.168964,2023,19,762,2 134,5,0,6,5,12,Венртикальный 4*3,Digital (без звука),статичный баннер,31,17,35827,1116,100%,,6557,8000,32787,40000
OREN1,Оренбургская область,Оренбург,Дзержинский,мкрн. 13_15_16,А,10.2025,Комфорт,ЖК 15Б Микрорайон,"улица Северный, 23",51.828932,55.173573,2024,17,162,454,6,3,3,3,4,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,50,22850,2101,100%,,6557,8000,39344,48000
OREN2,Оренбургская область,Оренбург,Ленинский,мкрн. 18_19_20,А,10.2025,Комфорт,ЖК 17 Микрорайон,"улица Салмышская, 43/1",51.823309,55.167186,2012,14,201,563,4,4,4,0,8,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,20,11340,2822,100%,,6557,8000,26230,32000
OREN2,Оренбургская область,Оренбург,Ленинский,мкрн. 18_19_20,А,10.2025,Комфорт,ЖК 17 Микрорайон,"улица Салмышская, 43/5",51.822089,55.16836,2017,20,568,1 590,4,4,4,0,8,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,20,32047,999,100%,,6557,8000,26230,32000
OREN2,Оренбургская область,Оренбург,Ленинский,мкрн. 18_19_20,А,10.2025,Комфорт,ЖК 17 Микрорайон,"улица Поляничко, 6",51.824091,55.169786,2025,17,230,644,2,2,6,0,12,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,7,4326,3699,100%,,6557,8000,13115,16000
OREN2,Оренбургская область,Оренбург,Ленинский,мкрн. 18_19_20,А,10.2025,Комфорт,ЖК 17 Микрорайон,"улица Поляничко, 6",51.824091,55.169786,2025,17,230,644,2,0,6,2,12,Вертикальный 4*3,Digital (без звука),статичный баннер,31,7,4326,3699,100%,,6557,8000,13115,16000
OREN2,Оренбургская область,Оренбург,Ленинский,мкрн. 18_19_20,А,10.2025,Комфорт,ЖК 17 Микрорайон,"улица Салмышская, 43/2",51.822514,55.168053,2014,13,99,277,4,2,2,2,4,Вертикальный 4*3,Digital (без звука),статичный баннер,31,40,11171,2865,100%,,6557,8000,26230,32000
OREN3,Оренбургская область,Оренбург,Ленинский,мкрн. 18_19_20,А,10.2025,Комфорт,ЖК 19 Микрорайон ,"улица Карпово, 3",51.815186,55.183117,2016,14,241,675,8,4,4,4,8,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,40,27194,2353,100%,,6557,8000,52459,64000
OREN3,Оренбургская область,Оренбург,Ленинский,мкрн. 18_19_20,А,10.2025,Комфорт,ЖК 19 Микрорайон ,"улица Салмышская, 67/3",51.814412,55.180769,2011,14,117,328,2,2,2,0,4,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,20,6601,2424,100%,,6557,8000,13115,16000
OREN4,Оренбургская область,Оренбург,Ленинский,мкрн. 13_15_16,Б,10.2025,Комфорт,ЖК Акварель,"улица Поляничко, 11/2",51.822822,55.174567,2020,14,240,672,3,3,3,0,6,Вертикальный 4*3,Digital (без звука),статичный баннер,31,20,13541,1772,100%,,6557,8000,19672,24000
OREN4,Оренбургская область,Оренбург,Ленинский,мкрн. 13_15_16,Б,10.2025,Комфорт,ЖК Акварель,"улица Саморядова, 6",51.821002,55.176029,2021,19,448,1 254,6,6,6,0,12,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,20,25276,1899,100%,,6557,8000,39344,48000
OREN4,Оренбургская область,Оренбург,Ленинский,мкрн. 13_15_16,Б,10.2025,Комфорт,ЖК Акварель,"Северный проезд, 24/1",51.827832,55.173848,2019,14,182,510,4,2,2,2,4,Вертикальный 4*3,Digital (без звука),статичный баннер,31,40,20537,1558,100%,,6557,8000,26230,32000
OREN5,Оренбургская область,Оренбург,Ленинский,мкрн. 13_15_16,А,05.2025,Комфорт,ЖК Акварель 2,"проезд Северный,18",51.825543,55.168108,2010,15,104,291,4,2,2,2,4,Вертикальный 4*3,Digital (без звука),статичный баннер,31,40,11735,2727,100%,,6557,8000,26230,32000
OREN5,Оренбургская область,Оренбург,Ленинский,мкрн. 13_15_16,А,05.2025,Комфорт,ЖК Акварель 2,"улица Поляничко, 11/3",51.823488,55.176177,2020,15,196,549,4,2,2,2,4,Вертикальный 4*3,Digital (без звука),статичный баннер,31,40,22117,1447,100%,,6557,8000,26230,32000
OREN5,Оренбургская область,Оренбург,Ленинский,мкрн. 13_15_16,А,05.2025,Комфорт,ЖК Акварель 2,"улица Поляничко, 2",51.825651,55.169472,2016,17,159,445,2,1,1,1,2,Вертикальный 4*3,Digital (без звука),статичный баннер,31,40,17942,892,100%,,6557,8000,13115,16000
OREN5,Оренбургская область,Оренбург,Ленинский,мкрн. 13_15_16,А,05.2025,Комфорт,ЖК Акварель 2,"улица Поляничко, 11/6",51.823828,55.177009,2021,17,315,882,6,3,3,3,6,Вертикальный 4*3,Digital (без звука),статичный баннер,31,40,35545,1350,100%,,6557,8000,39344,48000
OREN6,Оренбургская область,Оренбург,Ленинский,мкрн. Дубки,А,11.2025,Стандарт,ЖК Дубки 1,"улица Уральская, 2/15",51.763826,55.145796,2021,19,332,930,3,3,3,0,6,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,20,18731,1281,100%,,6557,8000,19672,24000
OREN6,Оренбургская область,Оренбург,Ленинский,мкрн. Дубки,А,11.2025,Стандарт,ЖК Дубки 1,"улица Уральская, 2/19",51.762914,55.145537,2021,15,391,1 095,3,3,3,0,6,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,20,22060,1088,100%,,6557,8000,19672,24000
OREN6,Оренбургская область,Оренбург,Ленинский,мкрн. Дубки,А,11.2025,Стандарт,ЖК Дубки 1,"улица Уральская, 2/17",51.759858,55.142766,2020,19,419,1 173,4,4,3,0,8,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,27,31520,1015,100%,,6557,8000,26230,32000
OREN7,Оренбургская область,Оренбург,Ленинский,мкрн. Дубки,Б,11.2025,Стандарт,ЖК Дубки 2,"улица Уральская, 2/18",51.761835,55.143456,2019,19,426,1 193,5,5,5,0,10,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,20,24035,1664,100%,,6557,8000,32787,40000
OREN7,Оренбургская область,Оренбург,Ленинский,мкрн. Дубки,Б,11.2025,Стандарт,ЖК Дубки 2,"улица Уральская, 2/25",51.759474,55.146264,2024,19,416,1 165,5,5,5,0,10,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,20,23471,1704,100%,,6557,8000,32787,40000
OREN8,Оренбургская область,Оренбург,Ленинский,мкрн. Дубки,А,11.2025,Стандарт,ЖК Дубки 3,"улица Эссена, 12",51.760243,55.148131,2024,19,433,1 212,5,5,4,0,10,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,25,30537,1310,100%,,6557,8000,32787,40000
OREN8,Оренбургская область,Оренбург,Ленинский,мкрн. Дубки,А,11.2025,Стандарт,ЖК Дубки 3,"улица Уральская, 2/16",51.761064,55.14163,2020,19,419,1 173,4,4,4,0,8,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,20,23640,1354,100%,,6557,8000,26230,32000
OREN8,Оренбургская область,Оренбург,Ленинский,мкрн. Дубки,А,11.2025,Стандарт,ЖК Дубки 3,"улица Уральская, 2/24",51.759256,55.144554,2023,17,371,1 039,5,5,5,0,10,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,20,20932,1911,100%,,6557,8000,32787,40000
OREN9,Оренбургская область,Оренбург,Ленинский,мкрн. Дубки,А,11.2025,Стандарт,ЖК Дубки 4,"улица Уральская, 2/13",51.763267,55.143844,2019,17,290,812,3,3,3,0,6,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,20,16362,1467,100%,,6557,8000,19672,24000
OREN9,Оренбургская область,Оренбург,Ленинский,мкрн. Дубки,А,11.2025,Стандарт,ЖК Дубки 4,"улица Уральская, 2/14",51.763659,55.144652,2019,17,176,493,3,3,3,0,6,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,20,9930,2417,100%,,6557,8000,19672,24000
OREN9,Оренбургская область,Оренбург,Ленинский,мкрн. Дубки,А,11.2025,Стандарт,ЖК Дубки 4,"улица Неплюева, 5",51.763659,55.144652,2022,15,332,930,4,4,4,0,8,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,20,18731,1708,100%,,6557,8000,26230,32000
OREN10,Оренбургская область,Оренбург,Ленинский,мкрн. Дубки,А,11.2025,Стандарт,ЖК Дубки 5,"улица Неплюева, 2",51.764262,55.142493,2024,19,250,700,2,2,2,0,4,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,20,14105,1134,100%,,6557,8000,13115,16000
OREN10,Оренбургская область,Оренбург,Ленинский,мкрн. Дубки,А,11.2025,Стандарт,ЖК Дубки 5,"улица Неплюева, 4",51.76462,55.143481,2025,19,250,700,2,2,2,0,4,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,20,14105,1134,100%,,6557,8000,13115,16000
OREN10,Оренбургская область,Оренбург,Ленинский,мкрн. Дубки,А,11.2025,Стандарт,ЖК Дубки 5,"улица Уральская, 2Д",51.763783,55.140939,2022,19,368,1 030,5,5,3,0,10,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,34,34604,1156,100%,,6557,8000,32787,40000
